frequency,Radial Velocity,Intensity,,
-800000,168.97,2.412,,
-795000,167.91,2.378,,
-790000,166.85,2.344,,
-785000,165.80,2.344,,
-780000,164.74,2.324,,
-775000,163.69,2.327,,
-770000,162.63,2.341,,
-765000,161.57,2.334,,
-760000,160.52,2.354,,
-755000,159.46,2.393,,
-750000,158.41,2.383,,
-745000,157.35,2.363,,
-740000,156.29,2.358,,
-735000,155.24,2.363,,
-730000,154.18,2.363,,
-725000,153.13,2.341,,
-720000,152.07,2.363,,
-715000,151.01,2.363,,
-710000,149.96,2.363,,
-705000,148.90,2.351,,
-700000,147.85,2.344,,
-695000,146.79,2.344,,
-690000,145.73,2.341,,
-685000,144.68,2.361,,
-680000,143.62,2.385,,
-675000,142.57,2.397,,
-670000,141.51,2.38,,
-665000,140.45,2.373,,
-660000,139.40,2.383,,
-655000,138.34,2.371,,
-650000,137.29,2.378,,
-645000,136.23,2.39,,
-640000,135.17,2.4,,
-635000,134.12,2.373,,
-630000,133.06,2.393,,
-625000,132.01,2.405,,
-620000,130.95,2.41,,
-615000,129.89,2.412,,
-610000,128.84,2.393,,
-605000,127.78,2.393,,
-600000,126.72,2.407,,
-595000,125.67,2.405,,
-590000,124.61,2.412,,
-585000,123.56,2.412,,
-580000,122.50,2.415,,
-575000,121.44,2.432,,
-570000,120.39,2.434,,
-565000,119.33,2.451,,
-560000,118.28,2.429,,
-555000,117.22,2.449,,
-550000,116.16,2.432,,
-545000,115.11,2.449,,
-540000,114.05,2.449,,
-535000,113.00,2.458,,
-530000,111.94,2.458,,
-525000,110.88,2.49,,
-520000,109.83,2.559,,
-515000,108.77,2.556,,
-510000,107.72,2.522,,
-505000,106.66,2.51,,
-500000,105.60,2.502,,
-495000,104.55,2.5,,
-490000,103.49,2.49,,
-485000,102.44,2.48,,
-480000,101.38,2.451,,
-475000,100.32,2.461,,
-470000,99.27,2.48,,
-465000,98.21,2.461,,
-460000,97.16,2.48,,
-455000,96.10,2.493,,
-450000,95.04,2.478,,
-445000,93.99,2.473,,
-440000,92.93,2.498,,
-435000,91.88,2.478,,
-430000,90.82,2.471,,
-425000,89.76,2.48,,
-420000,88.71,2.48,,
-415000,87.65,2.48,,
-410000,86.60,2.471,,
-405000,85.54,2.48,,
-400000,84.48,2.507,,
-395000,83.43,2.51,,
-390000,82.37,2.49,,
-385000,81.32,2.498,,
-380000,80.26,2.49,,
-375000,79.20,2.517,,
-370000,78.15,2.529,,
-365000,77.09,2.512,,
-360000,76.03,2.507,,
-355000,74.98,2.505,,
-350000,73.92,2.51,,
-345000,72.87,2.51,,
-340000,71.81,2.5,,
-335000,70.75,2.502,,
-330000,69.70,2.51,,
-325000,68.64,2.505,,
-320000,67.59,2.51,,
-315000,66.53,2.51,,
-310000,65.47,2.527,,
-305000,64.42,2.52,,
-300000,63.36,2.537,,
-295000,62.31,2.554,,
-290000,61.25,2.607,,
-285000,60.19,2.668,,
-280000,59.14,2.686,,
-275000,58.08,2.642,,
-270000,57.03,2.627,,
-265000,55.97,2.588,,
-260000,54.91,2.585,,
-255000,53.86,2.568,,
-250000,52.80,2.568,,
-245000,51.75,2.563,,
-240000,50.69,2.566,,
-235000,49.63,2.556,,
-230000,48.58,2.549,,
-225000,47.52,2.588,,
-220000,46.47,2.603,,
-215000,45.41,2.605,,
-210000,44.35,2.583,,
-205000,43.30,2.607,,
-200000,42.24,2.598,,
-195000,41.19,2.588,,
-190000,40.13,2.588,,
-185000,39.07,2.585,,
-180000,38.02,2.576,,
-175000,36.96,2.568,,
-170000,35.91,2.605,,
-165000,34.85,2.595,,
-160000,33.79,2.588,,
-155000,32.74,2.588,,
-150000,31.68,2.603,,
-145000,30.63,2.607,,
-140000,29.57,2.615,,
-135000,28.51,2.634,,
-130000,27.46,2.627,,
-125000,26.40,2.637,,
-120000,25.34,2.644,,
-115000,24.29,2.617,,
-110000,23.23,2.627,,
-105000,22.18,2.627,,
-100000,21.12,2.637,,
-95000,20.06,2.646,,
-90000,19.01,2.634,,
-85000,17.95,2.634,,
-80000,16.90,2.627,,
-75000,15.84,2.625,,
-70000,14.78,2.607,,
-65000,13.73,2.639,,
-60000,12.67,2.625,,
-55000,11.62,2.676,,
-50000,10.56,2.761,,
-45000,9.50,2.754,,
-40000,8.45,2.734,,
-35000,7.39,2.703,,
-30000,6.34,2.705,,
-25000,5.28,2.698,,
-20000,4.22,2.686,,
-15000,3.17,2.703,,
-10000,2.11,2.693,,
-5000,1.06,2.695,,
0,0.00,2.715,,
5000,-1.06,2.742,,
10000,-2.11,2.754,,
15000,-3.17,2.773,,
20000,-4.22,2.81,,
25000,-5.28,2.844,,
30000,-6.34,2.92,,
35000,-7.39,2.998,,
40000,-8.45,3.105,,
45000,-9.50,3.137,,
50000,-10.56,3.181,,
55000,-11.62,3.213,,
60000,-12.67,3.242,,
65000,-13.73,3.252,,
70000,-14.78,3.298,,
75000,-15.84,3.311,,
80000,-16.90,3.303,,
85000,-17.95,3.313,,
90000,-19.01,3.315,,
95000,-20.06,3.345,,
100000,-21.12,3.35,,
105000,-22.18,3.34,,
110000,-23.23,3.32,,
115000,-24.29,3.32,,
120000,-25.34,3.311,,
125000,-26.40,3.291,,
130000,-27.46,3.281,,
135000,-28.51,3.252,,
140000,-29.57,3.213,,
145000,-30.63,3.184,,
150000,-31.68,3.125,,
155000,-32.74,3.083,,
160000,-33.79,3.057,,
165000,-34.85,3.025,,
170000,-35.91,3.035,,
175000,-36.96,3.018,,
180000,-38.02,3.037,,
185000,-39.07,3.154,,
190000,-40.13,3.171,,
195000,-41.19,3.164,,
200000,-42.24,3.142,,
205000,-43.30,3.169,,
210000,-44.35,3.169,,
215000,-45.41,3.174,,
220000,-46.47,3.174,,
225000,-47.52,3.154,,
230000,-48.58,3.135,,
235000,-49.63,3.164,,
240000,-50.69,3.193,,
245000,-51.75,3.21,,
250000,-52.80,3.232,,
255000,-53.86,3.259,,
260000,-54.91,3.264,,
265000,-55.97,3.264,,
270000,-57.03,3.281,,
275000,-58.08,3.311,,
280000,-59.14,3.359,,
285000,-60.19,3.406,,
290000,-61.25,3.408,,
295000,-62.31,3.438,,
300000,-63.36,3.467,,
305000,-64.42,3.484,,
310000,-65.47,3.491,,
315000,-66.53,3.486,,
320000,-67.59,3.496,,
325000,-68.64,3.511,,
330000,-69.70,3.513,,
335000,-70.75,3.491,,
340000,-71.81,3.486,,
345000,-72.87,3.489,,
350000,-73.92,3.496,,
355000,-74.98,3.496,,
360000,-76.03,3.438,,
365000,-77.09,3.408,,
370000,-78.15,3.379,,
375000,-79.20,3.34,,
380000,-80.26,3.291,,
385000,-81.32,3.259,,
390000,-82.37,3.247,,
395000,-83.43,3.22,,
400000,-84.48,3.203,,
405000,-85.54,3.135,,
410000,-86.60,3.066,,
415000,-87.65,3.037,,
420000,-88.71,3.088,,
425000,-89.76,3.066,,
430000,-90.82,3.027,,
435000,-91.88,3.035,,
440000,-92.93,3.008,,
445000,-93.99,2.979,,
450000,-95.04,2.986,,
455000,-96.10,2.993,,
460000,-97.16,2.979,,
465000,-98.21,2.966,,
470000,-99.27,2.964,,
475000,-100.32,2.959,,
